model_file,model_consts,model_type,states,time_constr
"cluster.sm","N=128",CTMC,597012,0.291
"cluster.sm","N=16",CTMC,10132,0.058
"cluster.sm","N=2",CTMC,276,0.061
"cluster.sm","N=256",CTMC,2373652,0.744
"cluster.sm","N=32",CTMC,38676,0.069
"cluster.sm","N=4",CTMC,820,0.036
"cluster.sm","N=512",CTMC,9465876,3.242
"cluster.sm","N=64",CTMC,151060,0.138
"cluster.sm","N=8",CTMC,2772,0.056
"embedded.sm","MAX_COUNT=2",CTMC,3478,0.033
"embedded.sm","MAX_COUNT=3",CTMC,4323,0.037
"embedded.sm","MAX_COUNT=4",CTMC,5168,0.051
"embedded.sm","MAX_COUNT=5",CTMC,6013,0.048
"embedded.sm","MAX_COUNT=6",CTMC,6858,0.036
"embedded.sm","MAX_COUNT=7",CTMC,7703,0.067
"embedded.sm","MAX_COUNT=8",CTMC,8548,0.043
"fms.sm","n=1",CTMC,54,0.05
"fms.sm","n=10",CTMC,25397658,26.943
"fms.sm","n=2",CTMC,810,0.084
"fms.sm","n=3",CTMC,6520,0.116
"fms.sm","n=4",CTMC,35910,0.316
"fms.sm","n=5",CTMC,152712,0.58
"fms.sm","n=6",CTMC,537768,1.131
"fms.sm","n=7",CTMC,1639440,2.168
"fms.sm","n=8",CTMC,4459455,7.406
"fms.sm","n=9",CTMC,11058190,13.379
"kanban.sm","t=1",CTMC,160,0.057
"kanban.sm","t=2",CTMC,4600,0.052
"kanban.sm","t=3",CTMC,58400,0.08
"kanban.sm","t=4",CTMC,454475,0.191
"kanban.sm","t=5",CTMC,2546432,0.343
"kanban.sm","t=6",CTMC,11261376,0.531
"kanban.sm","t=7",CTMC,41644800,0.884
"mapk_cascade.sm","N=1",CTMC,118,0.064
"mapk_cascade.sm","N=2",CTMC,2172,0.211
"mapk_cascade.sm","N=3",CTMC,18292,0.713
"mapk_cascade.sm","N=4",CTMC,99535,4.19
"mapk_cascade.sm","N=5",CTMC,408366,10.824
"mapk_cascade.sm","N=6",CTMC,1373026,22.601
"mapk_cascade.sm","N=7",CTMC,3979348,47.093
"mapk_cascade.sm","N=8",CTMC,10276461,99.73
"poll10.sm","",CTMC,15360,0.069
"poll11.sm","",CTMC,33792,0.054
"poll12.sm","",CTMC,73728,0.056
"poll13.sm","",CTMC,159744,0.108
"poll14.sm","",CTMC,344064,0.089
"poll15.sm","",CTMC,737280,0.09
"poll16.sm","",CTMC,1572864,0.132
"poll17.sm","",CTMC,3342336,0.124
"poll18.sm","",CTMC,7077888,0.111
"poll19.sm","",CTMC,14942208,0.143
"poll20.sm","",CTMC,31457280,0.234
"poll3.sm","",CTMC,36,0.045
"poll4.sm","",CTMC,96,0.045
"poll5.sm","",CTMC,240,0.032
"poll6.sm","",CTMC,576,0.052
"poll7.sm","",CTMC,1344,0.036
"poll8.sm","",CTMC,3072,0.041
"poll9.sm","",CTMC,6912,0.057
"tandem.sm","c=1023",CTMC,2096128,5.969
"tandem.sm","c=127",CTMC,32640,0.177
"tandem.sm","c=15",CTMC,496,0.05
"tandem.sm","c=2047",CTMC,8386560,31.042
"tandem.sm","c=255",CTMC,130816,0.4
"tandem.sm","c=31",CTMC,2016,0.046
"tandem.sm","c=4095",CTMC,33550336,137.727
"tandem.sm","c=5",CTMC,66,0.032
"tandem.sm","c=511",CTMC,523776,1.349
"tandem.sm","c=63",CTMC,8128,0.069
"tandem.sm","c=7",CTMC,120,0.034
