model_file,model_consts,model_type,states,time_constr
"poll10.sm","",CTMC,15360,0.069
"poll11.sm","",CTMC,33792,0.054
"poll12.sm","",CTMC,73728,0.056
"poll13.sm","",CTMC,159744,0.108
"poll14.sm","",CTMC,344064,0.089
"poll15.sm","",CTMC,737280,0.09
"poll16.sm","",CTMC,1572864,0.132
"poll17.sm","",CTMC,3342336,0.124
"poll18.sm","",CTMC,7077888,0.111
"poll19.sm","",CTMC,14942208,0.143
"poll20.sm","",CTMC,31457280,0.234
"poll3.sm","",CTMC,36,0.045
"poll4.sm","",CTMC,96,0.045
"poll5.sm","",CTMC,240,0.032
"poll6.sm","",CTMC,576,0.052
"poll7.sm","",CTMC,1344,0.036
"poll8.sm","",CTMC,3072,0.041
"poll9.sm","",CTMC,6912,0.057
