model_file,model_consts,model_type,states,time_constr
"coin2.nm","K=16",MDP,2064,0.083
"coin2.nm","K=2",MDP,272,0.054
"coin2.nm","K=4",MDP,528,0.052
"coin2.nm","K=8",MDP,1040,0.069
"coin4.nm","K=2",MDP,22656,0.078
"coin4.nm","K=4",MDP,43136,0.11
"csma2_2.nm","",MDP,1038,0.097
"csma2_4.nm","",MDP,7958,0.185
"csma2_6.nm","",MDP,66718,0.427
"csma3_2.nm","",MDP,36850,0.436
"csma3_4.nm","",MDP,1460287,2.429
"csma3_6.nm","",MDP,84856004,18.095
"csma4_2.nm","",MDP,761962,2.407
"csma4_4.nm","",MDP,133301572,29.609
"csma4_6.nm","",MDP,39051159469,2049.131
"firewire.nm","delay=3",MDP,4093,0.7
"firewire.nm","delay=36",MDP,212268,4.367
"firewire_abst.nm","delay=3",MDP,611,0.121
"firewire_abst.nm","delay=36",MDP,776,0.135
"firewire_dl.nm","deadline=200,delay=3",MDP,14824,0.484
"firewire_dl.nm","deadline=400,delay=3",MDP,69683,1.253
"firewire_dl.nm","deadline=600,delay=3",MDP,168411,2.723
"firewire_dl.nm","deadline=800,delay=3",MDP,290017,5.147
"firewire_dl.nm","deadline=200,delay=36",MDP,68056,0.554
"firewire_dl.nm","deadline=400,delay=36",MDP,220565,1.465
"firewire_dl.nm","deadline=600,delay=36",MDP,375765,2.62
"firewire_dl.nm","deadline=800,delay=36",MDP,530965,4.325
"firewire_impl_dl.nm","deadline=200,delay=3",MDP,80980,2.283
"firewire_impl_dl.nm","deadline=400,delay=3",MDP,434364,9.417
"firewire_impl_dl.nm","deadline=600,delay=3",MDP,1093658,21.843
"firewire_impl_dl.nm","deadline=800,delay=3",MDP,1915291,36.231
"firewire_impl_dl.nm","deadline=200,delay=36",MDP,6719773,61.014
"firewire_impl_dl.nm","deadline=400,delay=36",MDP,44366235,388.817
"firewire_impl_dl.nm","deadline=600,delay=36",MDP,86813479,741.726
"firewire_impl_dl.nm","deadline=800,delay=36",MDP,129267079,1106.025
"wlan0.nm","COL=0",MDP,2954,0.117
"wlan1.nm","COL=0",MDP,8625,0.17
"wlan2.nm","COL=0",MDP,28480,0.271
"wlan3.nm","COL=0",MDP,96302,0.311
"wlan4.nm","COL=0",MDP,345000,0.42
"wlan5.nm","COL=0",MDP,1295218,0.632
"wlan6.nm","COL=0",MDP,5007548,0.884
"wlan_dl0.nm","deadline=80",MDP,189703,1.556
"wlan_dl1.nm","deadline=80",MDP,450627,1.619
"wlan_dl2.nm","deadline=80",MDP,1148419,2.527
"wlan_dl3.nm","deadline=80",MDP,3041883,4.205
"wlan_dl4.nm","deadline=80",MDP,6959410,5.134
"wlan_dl5.nm","deadline=80",MDP,9633089,5.774
"wlan_dl6.nm","deadline=80",MDP,10131465,5.788
"zeroconf.nm","reset=false,N=1000,K=2",MDP,89586,4.155
"zeroconf.nm","reset=true,N=1000,K=2",MDP,670,0.522
"zeroconf.nm","reset=false,N=1000,K=4",MDP,307768,11.981
"zeroconf.nm","reset=true,N=1000,K=4",MDP,1088,0.615
"zeroconf.nm","reset=false,N=1000,K=6",MDP,798471,32.409
"zeroconf.nm","reset=true,N=1000,K=6",MDP,1506,0.61
"zeroconf.nm","reset=false,N=1000,K=8",MDP,1870338,73.111
"zeroconf.nm","reset=true,N=1000,K=8",MDP,1924,0.649
"zeroconf.nm","reset=false,N=20,K=2",MDP,89586,4.198
"zeroconf.nm","reset=true,N=20,K=2",MDP,670,0.597
"zeroconf.nm","reset=false,N=20,K=4",MDP,307768,11.725
"zeroconf.nm","reset=true,N=20,K=4",MDP,1088,0.571
"zeroconf.nm","reset=false,N=20,K=6",MDP,798471,31.352
"zeroconf.nm","reset=true,N=20,K=6",MDP,1506,0.645
"zeroconf.nm","reset=false,N=20,K=8",MDP,1870338,73.434
"zeroconf.nm","reset=true,N=20,K=8",MDP,1924,0.638
"zeroconf_dl.nm","reset=false,deadline=10,N=1000,K=1",MDP,12240,1.208
"zeroconf_dl.nm","reset=false,deadline=20,N=1000,K=1",MDP,53620,2.984
"zeroconf_dl.nm","reset=false,deadline=30,N=1000,K=1",MDP,132806,5.578
"zeroconf_dl.nm","reset=false,deadline=40,N=1000,K=1",MDP,251740,9.017
"zeroconf_dl.nm","reset=false,deadline=50,N=1000,K=1",MDP,411031,14.235
"zeroconf_dl.nm","reset=true,deadline=10,N=1000,K=1",MDP,3835,0.616
"zeroconf_dl.nm","reset=true,deadline=20,N=1000,K=1",MDP,7670,0.692
"zeroconf_dl.nm","reset=true,deadline=30,N=1000,K=1",MDP,11605,0.907
"zeroconf_dl.nm","reset=true,deadline=40,N=1000,K=1",MDP,15640,0.921
"zeroconf_dl.nm","reset=true,deadline=50,N=1000,K=1",MDP,19775,1.167
