model_file,model_consts,model_type,states,time_constr
"avoid.prism","X_MAX=10,Y_MAX=10",SMG,106524,0.962
"avoid.prism","X_MAX=15,Y_MAX=15",SMG,480464,3.679
"dice.prism","N=10",SMG,5755,0.083
"dice.prism","N=25",SMG,34645,0.266
"dice.prism","N=50",SMG,136795,0.653
"hallway_human.prism","X_MAX=10,Y_MAX=10",SMG,400000,3.408
"hallway_human.prism","X_MAX=5,Y_MAX=5",SMG,25000,0.391
"hallway_human.prism","X_MAX=8,Y_MAX=8",SMG,163840,1.514
"investors2.prism","vmax=10",SMG,172240,1.119
"investors2.prism","vmax=20",SMG,568790,3.605
"safe_nav8x8_D.prism","",SMG,,
"safe_nav8x8_D.prism","",SMG,,
"safe_nav8x8_D.prism","",SMG,,
"task_graph6.prism","k1=10,k2=10",SMG,467638,3.965
"task_graph6.prism","k1=15,k2=15",SMG,1010318,9.188
"task_graph6.prism","k1=20,k2=20",SMG,1759348,17.325
"task_graph9.prism","k1=10,k2=10",SMG,2567638,34.956
